1,"","","",unknown,"","",1,B00FBD2G2Q|B004QF0TFQ|B00FBD2G0I|B003YJBYPE|B004Z258F6|B00IO9H7GY|B004UONNXI|B01MCWTV8A|B017XVZ062|B01NBA0VDI,"",0.0,8099.94,0.0,0.0,41926.29,0.0,0.0,unknown,17.5,3897.5,2196.5,socks
2,"","","",unknown,"","",1,B01MS0EKEF|B00NUZJPQ2|B0066BE3TG|B00YDI621Q|B01MQXJXUI|B01J2QN7RU|B01GELDQX6|B00IYBDWNY|B06W9KFPJ8|B00OU7LULM,"",0.0,24639.85,0.0,0.0,123967.2,0.0,0.0,unknown,48.45,2892.0,3022.5,shoes
3,"","","",unknown,"","",1,B01MU08J7Y|B001U88B48|B00ZP5G9NC|B01A642J9E|B01MZIOD9V|B005BIG3I4|B01MZIA3BO|B002KHNJB8|B00IEJ1A3K|B00CDPIUGG,"",0.0,76.04,10.0,0.0,3982.74,0.0,0.0,unknown,24.49,47.5,187.0,"pearl necklace"
4,"","","",unknown,"","",1,B01ET6JKDS|B01J3GOG9M|B01M2DC9PH|B01DDIJSWG|B01IAPMKYU|B01KG5HM0Y|B01M4S160D|B06X14QSX1|B01M8HNIIP|B01MF6DO6N,"",0.0,6857.32,10.0,0.0,384214.74,0.0,0.0,unknown,239.49,256.0,117.5,hoverboard
5,"","","",unknown,"","",1,B00XZKO0DK|B01A1BHFTQ|B01M0Q8HT1|B01CLRD1TG|B01INN7T18|B000S0F26Y|B00OV4L5K0|B00T93639G|B01G0NXW0A|B00525X8KW,"",0.0,2682.86,30.0,0.0,23498.64,0.0,0.0,unknown,6.44,1082.0,275.5,"stress ball"
6,"","","",unknown,"","",1,B00006IFIL|B000Z88D2E|B000J09OLM|B00006IFIM|B0006HXJFK|B005GPFWG6|B00006JNK2|B00I8OBAOU|B000N342KS|B000J0B2YY,"",0.0,7.5,0.0,0.0,23152.5,0.0,0.0,unknown,6.83,7350.0,892.5,"dry erase markers"
7,"","","",unknown,"","",1,B00TSUGXKE|B018Y229OU|B018SZT3BK|B00V49LL90|B018Y227MY|B013TMNKAW|B01MXGPIZW|B018Y23P7K|B01AHBBG04|B01ACEKAJY,"",0.0,173472.72,0.0,0.0,470211.5,0.0,0.0,unknown,59.49,4283.0,29917.5,tablet
8,"","","",unknown,"","",1,B00TYB8LMU|B01N4D398X|B01489QVJM|B015PS3ME2|B00LMPLR68|B00J7J40TM|B00O58F422|B00JDZDJ9M|B01F2JY1QC|B00FNVBSAM,"",0.0,10422.5,10.0,0.0,19907.9,0.0,0.0,unknown,89.49,225.5,126.5,bicycle
9,"","","",unknown,"","",1,B00J7B8T5Q|B00QTMI0LO|B01N90TZPP|B01BGG3GF2|B01N6E24GR|B0158ER0E6|B0157T1UMA|B01KLCXG2U|B01LY4XNKS|B00VGR4VW4,"",0.0,29.49,0.0,0.0,8807.57,0.0,0.0,unknown,20.49,315.0,893.5,blanket
10,"","","",unknown,"","",1,B002WN2T02|B000CNWCD8|B0017RM20G|B000HHSFVM|B0009HHXG8|B002A64R42|B001I13WK0|B00DU93LLI|B002NWZLTS|B0009HAIGK,"",0.0,1057.22,0.0,0.0,3358.23,0.0,0.0,unknown,29.0,94.5,557.5,galoshes
612,"","","",unknown,"","",1,B00CDWSONS|B01HGF11MM|B01CRXJN32|B007WW1AOE|B00SX1V2T6|B00JL4HERS|B00BTYOBLK|B01FQHM9OG|B00XHVQF5I|B00FQD0LNW,"",0.0,7.49,0.0,0.0,14.2,0.0,0.0,unknown,7.49,0.0,747.5,"false eyelashes"
613,"","","",unknown,"","",1,B01MXOTK8W|B01HAET9D2|B06XKL3VHB|B002QM3UJI|B015TATAS8|B01N2KDTQZ|B004Z28UN8|B01N9SNDVX|B06XC4YQ3R|B01EISJICU,"",0.0,21.1,30.0,0.0,420.35,0.0,0.0,unknown,19.45,0.08,1.33,"scented urinal screens"
614,"","","",unknown,"","",1,"",384082011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,"Black Friday Sales (384082011)"
